Number \ Keywords \ Quantity \ Percentage
# first keyboard line
18 \ 4rfv5tgb \ 1 \ 2.2052272707225205e-06
19 \ v5t \ 1 \ 2.2052272707225205e-06
20 \ fv5 \ 1 \ 2.2052272707225205e-06

# right index finger
1 \ nhy \ 21 \ 4.630977268517293e-05
2 \ hy6 \ 19 \ 4.1899318143727894e-05
3 \ hn7 \ 17 \ 3.748886360228285e-05
4 \ mju \ 11 \ 2.4257499977947727e-05
5 \ yhn \ 10 \ 2.2052272707225208e-05
6 \ ju7 \ 9 \ 1.9847045436502686e-05
7 \ 6yh \ 9 \ 1.9847045436502686e-05
8 \ 7nh \ 7 \ 1.5436590895057645e-05
9 \ ujm \ 6 \ 1.3231363624335125e-05
10 \ 7uj \ 5 \ 1.1026136353612604e-05
11 \ 6yhn \ 4 \ 8.820909082890082e-06
12 \ nhy6 \ 3 \ 6.615681812167562e-06
13 \ 7ujm \ 3 \ 6.615681812167562e-06
14 \ mju7 \ 2 \ 4.410454541445041e-06
15 \ MJU& \ 1 \ 2.2052272707225205e-06
16 \ UJM \ 1 \ 2.2052272707225205e-06
17 \ HN& \ 1 \ 2.2052272707225205e-06
18 \ u7n \ 1 \ 2.2052272707225205e-06
19 \ 6yhn7ujm \ 1 \ 2.2052272707225205e-06
20 \ n7u \ 1 \ 2.2052272707225205e-06

# right middle finger
1 \ ki8 \ 27 \ 5.954113630950806e-05
2 \ 8ik \ 9 \ 1.9847045436502686e-05
3 \ 8ik, \ 1 \ 2.2052272707225205e-06

# right ring finger
1 \ lo9 \ 35 \ 7.718295447528823e-05
2 \ 9ol \ 5 \ 1.1026136353612604e-05
3 \ .lo \ 2 \ 4.410454541445041e-06
4 \ ol. \ 1 \ 2.2052272707225205e-06

# right little finger
1 \ p;/ \ 1 \ 2.2052272707225205e-06

# little keyboard
1 \ 963 \ 376 \ 0.0008291654537916677
2 \ 369 \ 376 \ 0.0008291654537916677
3 \ 258 \ 356 \ 0.0007850609083772174
4 \ 520 \ 350 \ 0.0007718295447528823
5 \ 147 \ 350 \ 0.0007718295447528823
6 \ 410 \ 266 \ 0.0005865904540121905
7 \ 852 \ 264 \ 0.0005821799994707455
8 \ 025 \ 253 \ 0.0005579224994927977
9 \ 014 \ 250 \ 0.0005513068176806301
10 \ 741 \ 165 \ 0.0003638624996692159
11 \ 0147 \ 82 \ 0.0001808286361992467
12 \ 7410 \ 31 \ 6.836204539239814e-05
13 \ 8520 \ 28 \ 6.174636358023058e-05
14 \ 0258 \ 22 \ 4.8514999955895454e-05
15 \ .36 \ 1 \ 2.2052272707225205e-06

# 26 English characters
1 \ stu \ 622 \ 0.0013716513623894078
2 \ abc \ 608 \ 0.0013407781805992926
3 \ rst \ 370 \ 0.0008159340901673326
4 \ pon \ 349 \ 0.0007696243174821597
5 \ edc \ 324 \ 0.0007144936357140967
6 \ onm \ 192 \ 0.000423403635978724
7 \ abcd \ 173 \ 0.00038150431783499607
8 \ uts \ 164 \ 0.0003616572723984934
9 \ fgh \ 160 \ 0.00035283636331560333
10 \ def \ 133 \ 0.00029329522700609524
11 \ nop \ 119 \ 0.00026242204521597994
12 \ jkl \ 71 \ 0.00015657113622129896
13 \ xyz \ 68 \ 0.0001499554544091314
14 \ ghi \ 64 \ 0.0001411345453262413
15 \ lkj \ 62 \ 0.00013672409078479628
16 \ fed \ 54 \ 0.00011908227261901612
17 \ cde \ 48 \ 0.000105850908994681
18 \ mno \ 46 \ 0.00010144045445323595
19 \ tsr \ 45 \ 9.923522718251342e-05
20 \ cba \ 44 \ 9.702999991179091e-05
21 \ hij \ 40 \ 8.820909082890083e-05
22 \ ABC \ 36 \ 7.938818174601074e-05
23 \ abcdef \ 36 \ 7.938818174601074e-05
24 \ abcdefg \ 33 \ 7.277249993384318e-05
25 \ klm \ 23 \ 5.0720227226617976e-05
26 \ dcb \ 21 \ 4.630977268517293e-05
27 \ jih \ 21 \ 4.630977268517293e-05
28 \ abcdefgh \ 21 \ 4.630977268517293e-05
29 \ kji \ 20 \ 4.4104545414450416e-05
30 \ lmn \ 19 \ 4.1899318143727894e-05
31 \ abcde \ 18 \ 3.969409087300537e-05
32 \ gfe \ 17 \ 3.748886360228285e-05
33 \ ijk \ 17 \ 3.748886360228285e-05
34 \ hgf \ 16 \ 3.528363633156033e-05
35 \ tuv \ 14 \ 3.087318179011529e-05
36 \ uvw \ 13 \ 2.8667954519392768e-05
37 \ bcd \ 11 \ 2.4257499977947727e-05
38 \ mlk \ 9 \ 1.9847045436502686e-05
39 \ qrs \ 9 \ 1.9847045436502686e-05
40 \ efg \ 9 \ 1.9847045436502686e-05
41 \ vut \ 8 \ 1.7641818165780164e-05
42 \ rstu \ 8 \ 1.7641818165780164e-05
43 \ STU \ 7 \ 1.5436590895057645e-05
44 \ lmno \ 7 \ 1.5436590895057645e-05
45 \ EDC \ 6 \ 1.3231363624335125e-05
46 \ yxw \ 6 \ 1.3231363624335125e-05
47 \ srq \ 6 \ 1.3231363624335125e-05
48 \ LKJ \ 5 \ 1.1026136353612604e-05
49 \ wvu \ 5 \ 1.1026136353612604e-05
50 \ nml \ 5 \ 1.1026136353612604e-05
51 \ ihg \ 5 \ 1.1026136353612604e-05
52 \ qpo \ 5 \ 1.1026136353612604e-05
